filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.282, 0.305
01__come_together.wav.txt,260.680, 0.433, 0.630
01__drive_my_car.wav.txt,149.790, 0.490, 0.578
01__help.wav.txt,140.910, 0.609, 0.690
01__i_saw_her_standing_there.wav.txt,171.690, 0.609, 0.649
01__it_wont_be_long.wav.txt,133.760, 0.502, 0.595
01__magical_mystery_tour.wav.txt,171.930, 0.625, 0.637
01__no_reply.wav.txt,133.360, 0.721, 0.762
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.526, 0.554
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.598, 0.624
01__taxman.wav.txt,158.750, 0.386, 0.421
01__two_of_us.wav.txt,216.600, 0.534, 0.541
01_a_kind_of_magic.wav.txt,262.510, 0.745, 0.774
01_bohemian_rhapsody.wav.txt,358.290, 0.636, 0.669
02__all_ive_got_to_do.wav.txt,124.460, 0.507, 0.621
02__dig_a_pony.wav.txt,234.810, 0.442, 0.514
02__eleanor_rigby.wav.txt,127.580, 0.608, 0.734
02__i_should_have_known_better.wav.txt,160.210, 0.751, 0.774
02__im_a_loser.wav.txt,149.790, 0.627, 0.675
02__misery.wav.txt,106.160, 0.804, 0.818
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.828, 0.829
02__rawhide.wav.txt,215.800, 0.579, 0.700
02__something.wav.txt,182.900, 0.668, 0.668
02__the_fool_on_the_hill.wav.txt,180.180, 0.588, 0.617
02__the_night_before.wav.txt,156.430, 0.614, 0.669
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.705, 0.725
03__across_the_universe.wav.txt,228.590, 0.497, 0.510
03__all_my_loving.wav.txt,129.320, 0.693, 0.712
03__anna_go_to_him.wav.txt,174.530, 0.547, 0.588
03__babys_in_black.wav.txt,122.900, 0.766, 0.770
03__flying.wav.txt,136.510, 0.541, 0.573
03__if_i_fell.wav.txt,141.850, 0.638, 0.645
03__im_only_sleeping.wav.txt,181.290, 0.437, 0.560
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.562, 0.609
03__maxwells_silver_hammer.wav.txt,207.160, 0.650, 0.670
03__she.wav.txt,158.480, 0.502, 0.539
03__you_wont_see_me.wav.txt,202.180, 0.671, 0.682
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.690, 0.716
04__blue_jay_way.wav.txt,236.680, 0.700, 0.725
04__chains.wav.txt,141.770, 0.614, 0.657
04__dont_bother_me.wav.txt,149.080, 0.467, 0.610
04__erbauliche_gedanken_eines_tobackrauchers.wav.txt,342.550, 0.455, 0.507
04__getting_better.wav.txt,167.770, 0.427, 0.466
04__i_me_mine.wav.txt,145.660, 0.478, 0.608
04__i_need_you.wav.txt,151.270, 0.494, 0.598
04__im_happy_just_to_dance_with_you.wav.txt,118.630, 0.415, 0.500
04__nowhere_man.wav.txt,163.980, 0.494, 0.545
04__oh_darling.wav.txt,206.550, 0.593, 0.637
04__rock_and_roll_music.wav.txt,149.140, 0.763, 0.779
