filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.764, 0.804
01__come_together.wav.txt,260.680, 0.503, 0.744
01__drive_my_car.wav.txt,149.790, 0.593, 0.696
01__help.wav.txt,140.910, 0.774, 0.803
01__i_saw_her_standing_there.wav.txt,171.690, 0.807, 0.869
01__it_wont_be_long.wav.txt,133.760, 0.778, 0.813
01__magical_mystery_tour.wav.txt,171.930, 0.741, 0.771
01__no_reply.wav.txt,133.360, 0.876, 0.876
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.727, 0.738
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.737, 0.751
01__taxman.wav.txt,158.750, 0.515, 0.520
01__two_of_us.wav.txt,216.600, 0.724, 0.738
01_a_kind_of_magic.wav.txt,262.510, 0.903, 0.907
01_bohemian_rhapsody.wav.txt,358.290, 0.754, 0.770
02__all_ive_got_to_do.wav.txt,124.460, 0.601, 0.725
02__dig_a_pony.wav.txt,234.810, 0.761, 0.790
02__eleanor_rigby.wav.txt,127.580, 0.806, 0.813
02__i_should_have_known_better.wav.txt,160.210, 0.912, 0.912
02__im_a_loser.wav.txt,149.790, 0.821, 0.847
02__misery.wav.txt,106.160, 0.863, 0.880
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.858, 0.875
02__rawhide.wav.txt,215.800, 0.659, 0.738
02__something.wav.txt,182.900, 0.715, 0.724
02__the_fool_on_the_hill.wav.txt,180.180, 0.796, 0.798
02__the_night_before.wav.txt,156.430, 0.777, 0.858
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.870, 0.870
03__across_the_universe.wav.txt,228.590, 0.767, 0.779
03__all_my_loving.wav.txt,129.320, 0.755, 0.755
03__anna_go_to_him.wav.txt,174.530, 0.707, 0.738
03__babys_in_black.wav.txt,122.900, 0.798, 0.798
03__flying.wav.txt,136.510, 0.590, 0.599
03__if_i_fell.wav.txt,141.850, 0.731, 0.736
03__im_only_sleeping.wav.txt,181.290, 0.732, 0.732
