filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.584, 0.619
01__come_together.wav.txt,260.680, 0.594, 0.778
01__drive_my_car.wav.txt,149.790, 0.656, 0.677
01__help.wav.txt,140.910, 0.804, 0.806
01__i_saw_her_standing_there.wav.txt,171.690, 0.808, 0.844
01__it_wont_be_long.wav.txt,133.760, 0.656, 0.719
01__magical_mystery_tour.wav.txt,171.930, 0.640, 0.640
01__no_reply.wav.txt,133.360, 0.836, 0.836
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.548, 0.586
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.784, 0.784
01__taxman.wav.txt,158.750, 0.452, 0.501
01__two_of_us.wav.txt,216.600, 0.629, 0.633
01_a_kind_of_magic.wav.txt,262.510, 0.868, 0.872
01_bohemian_rhapsody.wav.txt,358.290, 0.670, 0.687
02__all_ive_got_to_do.wav.txt,124.460, 0.761, 0.761
02__dig_a_pony.wav.txt,234.810, 0.755, 0.766
02__eleanor_rigby.wav.txt,127.580, 0.797, 0.797
02__i_should_have_known_better.wav.txt,160.210, 0.734, 0.734
02__im_a_loser.wav.txt,149.790, 0.640, 0.640
02__misery.wav.txt,106.160, 0.831, 0.831
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.846, 0.849
02__rawhide.wav.txt,215.800, 0.696, 0.768
02__something.wav.txt,182.900, 0.692, 0.692
02__the_fool_on_the_hill.wav.txt,180.180, 0.772, 0.775
02__the_night_before.wav.txt,156.430, 0.709, 0.743
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.825, 0.825
03__across_the_universe.wav.txt,228.590, 0.514, 0.522
03__all_my_loving.wav.txt,129.320, 0.777, 0.780
03__anna_go_to_him.wav.txt,174.530, 0.544, 0.653
03__babys_in_black.wav.txt,122.900, 0.794, 0.806
03__flying.wav.txt,136.510, 0.769, 0.769
03__if_i_fell.wav.txt,141.850, 0.766, 0.769
03__im_only_sleeping.wav.txt,181.290, 0.616, 0.642
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.651, 0.651
03__maxwells_silver_hammer.wav.txt,207.160, 0.813, 0.824
03__she.wav.txt,158.480, 0.557, 0.560
03__you_wont_see_me.wav.txt,202.180, 0.758, 0.762
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.567, 0.616
04__blue_jay_way.wav.txt,236.680, 0.807, 0.807
