MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",75.307798,164.310204,73.773749,7.200396,4.572122,12.331265,5,6
"chord_mrx_09_000001",99.028793,200.129245,96.592051,0.212505,0.000000,0.000000,1,2
"chord_mrx_09_000002",91.192176,182.143129,88.403718,0.861959,4.202141,3.310244,5,8
"chord_mrx_09_000003",89.436239,153.469388,86.459111,0.000000,7.121407,-0.000000,4,4
"chord_mrx_09_000004",87.579620,236.088889,87.401158,1.190432,5.881395,3.139746,13,15
"chord_mrx_09_000005",84.122438,194.841000,80.353724,0.788335,1.271293,8.559800,12,18
"chord_mrx_09_000006",81.197290,183.771429,78.753509,0.000000,18.259448,0.000000,4,4
"chord_mrx_09_000007",87.599722,112.875102,83.690727,0.000000,8.428954,2.769553,8,8
"chord_mrx_09_000008",81.262359,172.329805,78.553820,0.000000,4.377086,13.891938,10,13
"chord_mrx_09_000009",88.561091,164.022857,88.339867,3.785096,4.742167,2.476445,8,11
"chord_mrx_09_000010",79.562188,149.394286,75.902226,10.348520,4.125913,5.004410,8,9
"chord_mrx_09_000011",85.799817,211.487347,83.469427,0.147320,4.831629,8.453618,7,8
"chord_mrx_09_000012",88.318116,147.513469,84.914753,0.000000,11.372645,-0.000000,3,3
"chord_mrx_09_000013",77.767829,277.080816,75.163549,1.470800,9.689172,1.143543,8,11
"chord_mrx_09_000014",78.732909,263.332325,74.285369,2.020261,1.741162,2.213252,5,6
"chord_mrx_09_000015",82.303411,111.962523,81.908418,0.323437,6.434013,10.843574,10,14
"chord_mrx_09_000016",69.109447,180.192653,66.849062,0.442343,7.691940,22.284765,9,10
"chord_mrx_09_000017",0.295109,132.465487,0.000000,0.000000,97.640477,1.613087,8,8
"chord_mrx_09_000018",86.957926,101.459592,76.565387,7.470955,3.324557,-0.000000,3,5
"chord_mrx_09_000019",81.969769,145.075374,79.504196,1.900184,10.974345,3.469181,5,6
"chord_mrx_09_000020",69.796843,129.509298,66.063678,9.327496,2.488633,17.156263,6,7
"chord_mrx_09_000021",86.592715,200.943000,86.052761,1.170481,9.197633,0.173183,5,7
"chord_mrx_09_000022",84.019586,157.152653,81.583707,0.027567,13.002528,1.727952,4,6
"chord_mrx_09_000023",97.716600,110.184490,93.689704,0.000000,0.749840,1.495011,4,4
"chord_mrx_09_000024",95.980147,154.955465,93.106252,1.227196,0.613994,1.819785,8,9
"chord_mrx_09_000025",85.686359,183.133000,83.257523,0.000000,6.326004,6.134886,6,11
"chord_mrx_09_000026",94.545063,174.158367,93.871327,0.000000,3.807822,0.000000,3,3
"chord_mrx_09_000027",93.098657,160.198986,91.412552,0.923927,2.926171,2.877195,5,6
"chord_mrx_09_000028",79.127029,347.205000,77.058510,1.580046,8.044815,9.251307,17,22
"chord_mrx_09_000029",88.583006,110.064000,86.227104,0.594200,5.061601,3.089112,8,11
"chord_mrx_09_000030",87.954785,121.376000,18.067822,0.000000,2.852294,0.000000,3,3
"chord_mrx_09_000031",21.666748,229.683084,19.849026,0.000000,69.342993,-0.000000,3,3
"chord_mrx_09_000032",75.629901,20.206598,74.018996,2.987732,17.921621,3.314798,6,6
"chord_mrx_09_000033",93.908996,151.092245,91.061566,0.000000,2.378177,3.147334,12,12
"chord_mrx_09_000034",91.995167,158.066939,89.708873,0.000000,3.749851,1.837001,5,6
"chord_mrx_09_000035",87.620129,169.921000,86.045868,1.860865,2.913707,4.309061,12,14
"chord_mrx_09_000036",84.703165,217.887347,84.186705,0.000000,9.128281,5.571054,6,6
"chord_mrx_09_000037",88.613690,121.392510,85.494192,2.253927,3.444166,4.898714,5,7
"chord_mrx_09_000038",91.514940,195.343673,91.159837,1.242464,5.324693,1.122978,9,12
"chord_mrx_09_000039",67.411479,342.547000,55.747386,1.992427,10.035411,19.747655,9,14
"chord_mrx_09_000040",89.625547,228.600000,89.043745,1.012248,4.232721,3.852581,9,10
"chord_mrx_09_000041",85.587077,166.997912,83.854253,2.136020,4.517958,5.458956,7,9
"chord_mrx_09_000042",89.894705,127.686531,86.778101,0.000000,1.059503,8.639157,3,4
"chord_mrx_09_000043",82.332729,161.149388,72.788175,1.576177,11.126927,-0.000000,5,7
"chord_mrx_09_000044",86.497647,152.581224,84.183064,9.226484,3.503938,0.468554,7,7
"chord_mrx_09_000045",72.883890,136.681362,71.819924,18.314389,0.942963,7.529674,7,10
"chord_mrx_09_000046",88.918653,175.827000,87.923356,3.087694,2.497341,5.141417,13,14
"chord_mrx_09_000047",93.721885,40.620408,86.630705,0.000000,4.653459,-0.000000,3,3
"chord_mrx_09_000048",89.929006,148.511640,86.652957,0.000000,8.006368,1.819116,6,7
"chord_mrx_09_000049",79.924358,167.627755,77.348323,3.235304,14.602358,1.710177,3,4
"chord_mrx_09_000050",11.422057,194.089796,11.215494,1.783333,39.892555,40.634424,9,10
"chord_mrx_09_000051",76.058528,150.282449,73.208927,4.233540,11.267700,6.531505,6,9
"chord_mrx_09_000052",72.085531,72.751020,72.085531,2.063260,19.734488,0.967625,6,8
"chord_mrx_09_000053",13.529918,31.681117,0.000000,0.000000,69.785655,0.000000,1,1
"chord_mrx_09_000054",76.047099,206.007440,72.793837,3.786700,15.659715,0.630617,4,6
"chord_mrx_09_000055",90.059927,167.122720,87.493407,4.951111,3.371020,0.376519,4,6
"chord_mrx_09_000056",90.313525,192.496327,88.406306,2.274038,3.922261,2.689011,6,8
"chord_mrx_09_000057",92.546451,228.571429,91.104264,0.000000,3.469983,2.717159,7,7
"chord_mrx_09_000058",93.517523,117.860212,87.304204,0.000000,4.694229,1.751849,4,6
"chord_mrx_09_000059",77.274277,202.317000,76.687574,3.378856,5.069272,11.476544,9,13
"chord_mrx_09_000060",90.153652,156.708571,89.911163,0.000000,6.720255,3.092304,7,12
"chord_mrx_09_000061",87.887609,140.576508,84.852442,2.531301,4.946706,4.306215,9,9
"chord_mrx_09_000062",90.367214,254.549169,89.658989,0.000000,7.040927,2.185851,6,6
"chord_mrx_09_000063",76.998968,136.048617,54.597032,1.396560,12.573145,3.228447,10,10
"chord_mrx_09_000064",73.300741,215.800000,72.088508,8.349398,3.281742,11.856812,8,14
"chord_mrx_09_000065",55.300121,189.515466,55.094333,0.900542,24.224150,18.340468,7,5
"chord_mrx_09_000066",77.377301,295.093000,76.532483,0.934959,6.716527,6.691111,8,11
"chord_mrx_09_000067",94.536283,138.370612,90.861789,1.341652,2.873844,0.804654,6,7
"chord_mrx_09_000068",84.447377,197.741135,83.656263,0.000000,8.045179,6.568456,8,11
"chord_mrx_09_000069",95.100833,116.424853,92.341236,0.000000,3.163062,1.681261,10,10
"chord_mrx_09_000070",90.260120,139.706676,89.526058,1.180488,3.956386,4.076117,10,12
"chord_mrx_09_000071",90.405231,164.101224,87.778888,0.000000,8.627540,0.951164,5,5
"chord_mrx_09_000072",93.275898,151.914612,88.891308,0.000000,6.574593,0.000000,4,4
"chord_mrx_09_000073",65.306336,304.150793,64.831215,5.245753,14.459249,14.864009,2,7
"chord_mrx_09_000074",87.371295,148.741224,86.829495,0.000000,3.835249,8.492605,9,12
"chord_mrx_09_000075",91.199884,147.670204,88.255921,0.146141,5.001209,3.151476,6,6
"chord_mrx_09_000076",90.227426,159.674920,89.362344,1.198445,2.809483,5.545090,11,11
"chord_mrx_09_000077",94.640088,137.607256,91.181783,0.722849,1.997516,1.934070,9,13
"chord_mrx_09_000078",92.013038,147.983673,89.354590,2.162330,2.385465,2.965436,7,8
"chord_mrx_09_000079",68.136572,140.088890,68.136572,4.475074,7.625318,19.357355,11,13
"chord_mrx_09_000080",76.624251,167.862000,75.559090,0.181697,4.251111,17.448857,8,14
"chord_mrx_09_000081",91.405028,175.804082,87.833392,0.023462,4.937928,3.377561,4,4
"chord_mrx_09_000082",87.867908,157.648980,84.670788,1.025967,9.531680,1.427494,9,9
"chord_mrx_09_000083",89.260792,155.173152,88.895170,1.866593,6.509002,1.909366,8,12
"chord_mrx_09_000084",90.141082,171.101456,86.352906,2.870384,4.101294,0.000000,5,5
"chord_mrx_09_000085",91.148390,163.317551,83.119869,0.000000,7.378671,0.000000,6,6
"chord_mrx_09_000086",86.333280,225.821231,78.564380,0.000000,4.349039,3.758427,7,12
"chord_mrx_09_000087",90.661072,257.642000,89.712469,0.000000,2.710738,1.397676,5,7
"chord_mrx_09_000088",82.504720,145.008617,79.730571,0.982700,2.509334,13.420471,12,15
"chord_mrx_09_000089",85.065994,212.140000,75.745263,1.485340,5.317715,6.035165,12,15
"chord_mrx_09_000090",96.729841,123.367620,93.600141,0.000000,0.518206,1.869867,6,7
"chord_mrx_09_000091",83.127830,158.850612,80.082383,0.155527,14.105801,1.774386,9,9
"chord_mrx_09_000092",75.884840,186.107000,73.774764,16.677503,5.070739,1.465823,12,13
"chord_mrx_09_000093",82.994953,119.353469,79.151806,0.000000,10.802268,5.640132,13,11
"chord_mrx_09_000094",62.720374,167.444898,61.980166,18.544197,6.442483,11.921576,5,4
"chord_mrx_09_000095",63.533714,158.870455,62.700387,0.630665,16.408775,19.414507,5,7
"chord_mrx_09_000096",89.217831,145.614919,86.531988,0.102373,3.016439,6.879317,8,10
"chord_mrx_09_000097",77.233239,114.451157,73.600551,3.701296,5.444322,13.470137,7,10
"chord_mrx_09_000098",88.502371,124.551837,84.363625,0.000000,9.973947,1.233078,5,5
"chord_mrx_09_000099",80.368484,160.417959,77.826552,3.704135,9.870683,4.149029,5,6
"chord_mrx_09_000100",84.776174,119.145091,80.880203,0.145131,3.863183,10.652432,7,9
"chord_mrx_09_000101",92.794337,92.708571,92.794337,0.000000,6.125065,0.726625,7,9
"chord_mrx_09_000102",82.738060,118.987755,78.482158,7.348768,5.560103,3.440626,5,8
"chord_mrx_09_000103",76.575844,215.066122,76.102189,0.000000,14.222209,8.819773,7,9
"chord_mrx_09_000104",94.827868,149.741757,85.673821,0.000000,3.602021,1.221371,6,6
"chord_mrx_09_000105",91.018837,129.776327,88.350071,1.520530,6.043222,0.390450,6,8
"chord_mrx_09_000106",94.662970,184.131714,93.834665,0.000000,2.038051,2.884999,5,7
"chord_mrx_09_000107",78.723223,153.561421,78.205828,0.522582,10.635510,9.517659,7,8
"chord_mrx_09_000108",83.231221,129.270000,81.917692,1.930069,1.703411,7.414713,7,8
"chord_mrx_09_000109",94.550473,146.494694,91.929738,0.048914,3.115610,-0.000000,4,4
"chord_mrx_09_000110",73.122713,177.266939,72.296342,0.000000,26.581312,0.000000,3,1
"chord_mrx_09_000111",78.786416,125.342112,75.826029,15.207118,1.830672,3.274650,5,9
"chord_mrx_09_000112",94.327416,118.267344,92.550675,0.000000,2.861674,0.745787,6,8
"chord_mrx_09_000113",90.840465,190.101768,88.783537,0.439780,4.194369,3.503733,6,8
"chord_mrx_09_000114",64.130708,159.208797,57.615693,0.459415,9.062414,4.021581,6,4
"chord_mrx_09_000115",85.032709,315.765042,64.391994,4.079291,1.502402,7.678412,11,13
"chord_mrx_09_000116",82.963787,117.733878,82.663213,0.000000,8.653553,7.874124,6,10
"chord_mrx_09_000117",92.517156,165.433469,89.849883,0.268868,3.782507,3.261558,5,7
"chord_mrx_09_000118",79.676413,128.026122,75.729437,11.954336,6.589700,1.105801,5,7
"chord_mrx_09_000119",91.783787,156.708571,89.761836,3.310405,2.199388,1.609742,9,9
"chord_mrx_09_000120",79.660528,228.826000,56.017673,3.165724,2.397018,11.644656,9,16
"chord_mrx_09_000121",67.846131,232.874000,65.083264,6.223537,9.182219,13.719436,9,12
"chord_mrx_09_000122",83.534786,105.743806,81.299328,0.000000,10.294123,5.741013,10,10
"chord_mrx_09_000123",95.383971,152.176427,92.809958,0.000000,2.670623,0.000000,4,6
"chord_mrx_09_000124",91.968205,207.281633,90.812973,0.000000,2.602325,5.127567,9,9
"chord_mrx_09_000125",90.724111,171.322630,87.698224,0.746581,3.249903,3.003566,9,9
"chord_mrx_09_000126",94.088578,126.828262,90.574732,1.384932,3.400710,1.008572,7,7
"chord_mrx_09_000127",87.133021,100.653000,84.489285,1.059084,6.517441,5.104667,8,9
"chord_mrx_09_000128",95.013359,162.382872,92.542051,0.735703,2.727604,1.142435,8,10
"chord_mrx_09_000129",91.760176,133.407347,88.677627,0.000000,3.424164,3.366427,7,6
"chord_mrx_09_000130",87.105400,216.685714,79.896841,0.983383,3.285196,6.018162,7,8
"chord_mrx_09_000131",94.809518,91.585306,94.391381,1.243675,2.010908,1.381930,6,7
"chord_mrx_09_000132",87.352420,243.330612,86.930930,0.000000,6.547515,5.494767,5,4
"chord_mrx_09_000133",92.888569,179.617959,90.698793,0.604060,4.043741,1.238740,4,8
"chord_mrx_09_000134",91.006560,108.016327,87.702277,2.046893,5.905829,0.517534,5,6
"chord_mrx_09_000135",81.370741,132.308000,81.370741,0.000000,5.314871,11.009916,11,19
"chord_mrx_09_000136",91.266061,199.942785,90.587200,0.551830,5.982162,1.447664,8,11
"chord_mrx_09_000137",80.753887,285.309388,80.329650,0.355754,3.942673,14.617370,10,15
"chord_mrx_09_000138",89.094595,208.658000,80.576829,0.726068,4.214073,5.530102,9,8
"chord_mrx_09_000139",90.277947,125.753469,87.038642,0.000000,7.479856,1.923899,8,7
"chord_mrx_09_000140",87.768048,177.580408,85.651601,2.919164,2.480831,6.554892,7,8
"chord_mrx_09_000141",91.604512,66.298776,91.604512,0.000000,7.771380,0.000000,5,5
"chord_mrx_09_000142",84.851283,193.825000,82.392364,1.753644,4.819296,7.973688,11,21
"chord_mrx_09_000143",67.030583,135.320091,65.600339,4.715751,3.944598,23.620910,10,13
