MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",81.362627,164.310204,79.877266,4.990589,7.309385,5.648560,5,7
"chord_mrx_09_000001",94.003119,200.129245,91.793731,3.941516,0.024984,1.044325,1,4
"chord_mrx_09_000002",91.393410,182.143129,89.301768,0.229431,3.260726,4.005793,5,7
"chord_mrx_09_000003",81.334689,153.469388,79.334955,0.000000,11.616374,2.749734,4,4
"chord_mrx_09_000004",83.331685,236.088889,83.117221,1.439635,8.686663,4.288733,13,14
"chord_mrx_09_000005",80.514368,194.841000,78.393151,1.602332,2.696558,8.299075,12,16
"chord_mrx_09_000006",77.236283,183.771429,74.836034,0.000000,22.160599,-0.000000,4,4
"chord_mrx_09_000007",84.741661,112.875102,80.396059,0.000000,11.087352,3.430470,8,9
"chord_mrx_09_000008",82.442316,172.329805,79.915836,0.000000,7.001696,9.926351,10,12
"chord_mrx_09_000009",89.701632,164.022857,89.388958,2.333603,3.294376,4.326639,8,10
"chord_mrx_09_000010",78.742295,149.394286,75.171686,6.061565,7.515713,7.402892,8,9
"chord_mrx_09_000011",84.071610,211.487347,81.994190,0.000000,6.766602,8.091555,7,8
"chord_mrx_09_000012",86.331748,147.513469,83.134354,3.091167,7.503506,2.793042,3,6
"chord_mrx_09_000013",82.349174,277.080816,81.168718,2.598937,12.368570,1.078846,8,11
"chord_mrx_09_000014",87.246723,263.332325,82.921835,1.445709,5.163983,2.213252,5,5
"chord_mrx_09_000015",72.754345,111.962523,72.333336,2.351976,11.443819,13.308078,10,8
"chord_mrx_09_000016",80.412576,180.192653,78.102244,0.106730,4.091255,14.970655,9,9
"chord_mrx_09_000017",0.344179,132.465487,0.000000,0.000000,96.891523,2.362041,8,9
"chord_mrx_09_000018",88.199892,101.459592,84.050859,0.000000,3.546945,0.000000,3,5
"chord_mrx_09_000019",64.769977,145.075374,62.462942,11.959750,16.976085,4.449129,5,7
"chord_mrx_09_000020",62.724652,129.509298,58.960208,6.589778,3.874575,25.561713,6,8
"chord_mrx_09_000021",86.952021,200.943000,86.277701,0.000000,10.184480,0.000000,5,5
"chord_mrx_09_000022",83.898271,157.152653,81.522843,0.000000,14.017107,0.747717,4,4
"chord_mrx_09_000023",96.023852,110.184490,92.376634,0.000000,1.965769,1.625419,4,5
"chord_mrx_09_000024",91.683544,154.955465,88.790288,0.000000,4.929807,3.043904,8,8
"chord_mrx_09_000025",84.090797,183.133000,81.877652,0.256644,9.996560,5.323999,6,11
"chord_mrx_09_000026",93.424496,174.158367,92.541181,0.642611,4.471907,0.023450,3,4
"chord_mrx_09_000027",85.633001,160.198986,84.777861,3.108709,3.580642,6.525195,5,7
"chord_mrx_09_000028",75.991705,347.205000,75.305367,2.491324,11.394709,7.266600,17,21
"chord_mrx_09_000029",91.918338,110.064000,89.562436,0.000000,3.270824,2.738407,8,9
"chord_mrx_09_000030",72.541524,121.376000,20.199216,0.000000,2.430464,0.000000,3,3
"chord_mrx_09_000031",23.753219,229.683084,22.804086,0.000000,69.569257,0.526813,3,4
"chord_mrx_09_000032",71.966671,20.206598,70.355767,0.000000,24.801622,3.011526,6,6
"chord_mrx_09_000033",88.638167,151.092245,85.916488,3.578133,2.557150,4.535306,12,16
"chord_mrx_09_000034",88.868236,158.066939,86.499698,0.000000,5.782224,3.690731,5,6
"chord_mrx_09_000035",88.191571,169.921000,86.814461,1.175841,2.177482,4.961718,12,13
"chord_mrx_09_000036",85.128578,217.887347,84.643306,0.000000,8.627711,5.627437,6,6
"chord_mrx_09_000037",76.635414,121.392510,73.569462,11.156889,1.425392,9.939257,5,6
"chord_mrx_09_000038",89.437688,195.343673,89.169610,0.783235,7.984449,0.912677,9,10
"chord_mrx_09_000039",68.298365,342.547000,58.562767,1.873612,10.677659,16.449713,9,14
"chord_mrx_09_000040",87.622047,228.600000,86.944007,0.375766,4.818023,6.003500,9,10
"chord_mrx_09_000041",77.381873,166.997912,76.288496,5.778787,6.229723,7.779248,7,10
"chord_mrx_09_000042",90.559272,127.686531,87.562456,0.000000,0.462741,8.472748,3,3
"chord_mrx_09_000043",76.550626,161.149388,67.516605,1.547078,18.427158,1.613410,5,9
"chord_mrx_09_000044",83.433298,152.581224,81.059730,8.397860,4.444150,3.473748,7,10
"chord_mrx_09_000045",71.248458,136.681362,70.575914,21.815375,1.997285,4.192770,7,9
"chord_mrx_09_000046",83.332480,175.827000,82.328653,5.991685,6.343736,3.974361,13,16
"chord_mrx_09_000047",93.969361,40.620408,86.878182,0.000000,3.199692,1.501708,3,4
"chord_mrx_09_000048",87.854229,148.511640,84.578180,0.000000,8.202606,3.690922,6,7
"chord_mrx_09_000049",79.378530,167.627755,76.689149,1.714307,17.027350,1.644326,3,6
"chord_mrx_09_000050",12.532682,194.089796,12.326118,1.716353,44.121073,36.189197,9,10
"chord_mrx_09_000051",74.557654,150.282449,71.528392,6.780279,9.539902,7.393098,6,12
"chord_mrx_09_000052",77.532193,72.751020,77.532193,0.000000,20.775707,1.017168,6,7
"chord_mrx_09_000053",60.578685,31.681117,45.612581,0.000000,24.173074,0.000000,1,2
"chord_mrx_09_000054",62.392509,206.007440,60.957748,0.000000,34.393007,0.000000,4,6
"chord_mrx_09_000055",92.666838,167.122720,90.103037,0.656436,3.809533,2.200744,4,5
"chord_mrx_09_000056",1.831893,192.496327,0.000000,0.000000,87.449815,9.841800,6,10
"chord_mrx_09_000057",92.381893,228.571429,90.909603,0.000000,3.367037,3.007680,7,7
"chord_mrx_09_000058",88.680857,117.860212,85.459989,0.000000,3.589021,4.737671,4,6
"chord_mrx_09_000059",80.126238,202.317000,79.435737,4.185511,4.657542,10.135085,9,13
"chord_mrx_09_000060",80.638321,156.708571,80.427739,7.122251,8.620706,3.553026,7,10
"chord_mrx_09_000061",84.790016,140.576508,81.752225,2.471756,5.207456,7.239863,9,9
"chord_mrx_09_000062",88.308511,254.549169,87.624606,0.493202,8.504372,2.221590,6,7
"chord_mrx_09_000063",81.259554,136.048617,59.004624,4.857831,6.471356,3.674217,10,10
"chord_mrx_09_000064",73.833642,215.800000,72.693698,6.797961,2.389713,14.056070,8,12
"chord_mrx_09_000065",73.692738,189.515466,73.188013,0.130348,11.251819,13.989313,7,9
"chord_mrx_09_000066",75.967576,295.093000,75.250175,0.320577,9.597991,6.306148,8,10
"chord_mrx_09_000067",84.826042,138.370612,81.515649,6.762115,7.465763,0.258518,6,6
"chord_mrx_09_000068",76.230625,197.741135,75.508903,0.711139,13.105357,9.074865,8,13
"chord_mrx_09_000069",91.810575,116.424853,89.360190,0.000000,6.100828,1.724541,10,11
