MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",79.298459,164.310204,79.030432,8.429606,4.481062,5.917766,5,7
"chord_mrx_09_000001",96.578308,200.129245,96.311451,0.000000,0.493105,0.000000,1,2
"chord_mrx_09_000002",91.740240,182.143129,91.498454,0.000000,3.424332,1.751408,5,5
"chord_mrx_09_000003",84.546388,153.469388,84.109509,0.612767,8.675685,0.590071,4,6
"chord_mrx_09_000004",82.292540,236.088889,82.292540,0.843613,5.869570,8.533242,13,13
"chord_mrx_09_000005",71.907914,194.841000,71.586144,2.742994,5.309707,11.352271,12,13
"chord_mrx_09_000006",74.510318,183.771429,74.260256,0.048172,19.735052,2.977967,4,6
"chord_mrx_09_000007",85.459129,112.875102,85.023090,0.712468,6.221357,2.940436,8,10
"chord_mrx_09_000008",81.417367,172.329805,81.221992,0.000000,5.833256,9.788635,10,10
"chord_mrx_09_000009",92.198874,164.022857,92.198874,0.000000,4.423329,2.608120,8,9
"chord_mrx_09_000010",79.582289,149.394286,79.180121,6.815490,5.526703,4.629543,8,8
"chord_mrx_09_000011",73.895089,211.487347,73.641583,0.000000,10.798466,12.457823,7,9
"chord_mrx_09_000012",76.952389,147.513469,76.623798,0.051702,17.632970,2.238599,3,6
"chord_mrx_09_000013",82.479644,277.080816,82.313793,0.002881,11.032059,3.864586,8,12
"chord_mrx_09_000014",65.175219,263.332325,65.033037,0.127857,14.208649,15.321830,5,7
"chord_mrx_09_000015",63.989823,111.962523,63.920273,4.642405,22.191672,8.752054,10,8
"chord_mrx_09_000016",74.355317,180.192653,74.110915,7.067974,3.205115,12.897327,9,9
"chord_mrx_09_000017",0.201584,132.465487,0.000000,0.000000,95.339240,3.914324,8,7
"chord_mrx_09_000018",82.584967,101.459592,82.470538,0.000000,3.824197,1.303070,3,4
"chord_mrx_09_000019",47.962745,145.075374,47.516594,10.765513,28.106834,9.458966,5,7
