MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",79.844972,164.310204,78.122496,0.337159,3.687702,15.775580,5,6
"chord_mrx_09_000001",95.055943,200.129245,92.896522,3.908034,0.000000,0.000000,1,2
"chord_mrx_09_000002",89.275517,182.143129,86.798247,0.860626,3.654918,5.419385,5,8
"chord_mrx_09_000003",76.800712,153.469388,76.493471,0.000000,15.456055,1.733275,4,4
"chord_mrx_09_000004",81.508693,236.088889,81.142598,0.958447,11.790220,3.672327,13,14
"chord_mrx_09_000005",78.861704,194.841000,76.667958,1.778849,1.425551,11.118757,12,18
"chord_mrx_09_000006",78.669283,183.771429,75.706178,0.000000,20.846649,0.000000,4,4
"chord_mrx_09_000007",90.694190,112.875102,85.696808,0.000000,7.924071,1.106721,8,8
"chord_mrx_09_000008",78.246334,172.329805,75.103993,0.000000,4.903228,16.767788,10,12
"chord_mrx_09_000009",89.829324,164.022857,89.802781,1.940579,4.891045,2.692084,8,10
"chord_mrx_09_000010",70.899278,149.394286,67.128840,11.784394,7.818540,8.121889,8,9
"chord_mrx_09_000011",89.239361,211.487347,86.368558,0.000000,2.777069,7.784203,7,8
"chord_mrx_09_000012",86.147246,147.513469,82.694316,3.359765,8.489240,1.632316,3,8
"chord_mrx_09_000013",83.830066,277.080816,81.334990,2.763309,8.371806,4.465834,8,16
"chord_mrx_09_000014",87.849643,263.332325,84.998048,0.000000,3.813638,4.029947,5,4
"chord_mrx_09_000015",76.418965,111.962523,75.972924,0.119641,13.590528,9.618381,10,9
"chord_mrx_09_000016",55.553399,180.192653,53.324341,0.200483,18.684059,25.072882,9,8
"chord_mrx_09_000017",0.544069,132.465487,0.000000,0.000000,97.779360,1.474204,8,8
"chord_mrx_09_000018",96.927834,101.459592,84.525639,0.000000,0.359378,0.000000,3,3
"chord_mrx_09_000019",81.358321,145.075374,78.204811,0.000000,13.133762,4.509334,5,5
"chord_mrx_09_000020",68.171782,129.509298,64.537975,3.716963,7.010617,19.492746,6,8
"chord_mrx_09_000021",82.441662,200.943000,82.300508,2.012013,10.093858,2.032905,5,7
