MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",76.329894,164.310204,74.252831,7.852832,10.597090,5.030069,5,6
"chord_mrx_09_000001",98.789133,200.129245,95.826460,0.000000,0.899419,-0.000000,1,3
"chord_mrx_09_000002",89.856800,182.143129,87.348587,0.000000,3.285115,6.001370,5,5
"chord_mrx_09_000003",77.087615,153.469388,71.075646,0.000000,11.279540,10.995678,4,10
"chord_mrx_09_000004",79.578341,236.088889,77.709838,1.727980,7.219848,10.804697,13,13
"chord_mrx_09_000005",74.399639,194.841000,70.843919,3.017845,4.709481,12.419871,12,14
"chord_mrx_09_000006",73.204424,183.771429,70.228513,1.347886,23.485728,0.695413,4,5
"chord_mrx_09_000007",85.512203,112.875102,80.426084,0.000000,6.885458,7.239868,8,7
"chord_mrx_09_000008",84.967162,172.329805,82.315161,0.000000,5.144039,9.327415,10,13
"chord_mrx_09_000009",88.210714,164.022857,87.554289,0.000000,8.166007,3.393939,8,10
"chord_mrx_09_000010",73.138311,149.394286,69.290167,6.562861,10.820024,9.153906,8,9
"chord_mrx_09_000011",80.702058,211.487347,77.631888,0.000000,5.672634,12.914000,7,10
"chord_mrx_09_000012",76.579598,147.513469,73.637210,3.115388,16.552440,2.175654,3,8
"chord_mrx_09_000013",74.912375,277.080816,73.195923,6.102994,11.772080,6.046682,8,11
"chord_mrx_09_000014",53.768084,263.332325,53.195361,4.029129,21.789424,15.677458,5,15
"chord_mrx_09_000015",65.252786,111.962523,64.831778,4.642405,19.968478,9.806985,10,6
"chord_mrx_09_000016",67.403305,180.192653,64.685076,4.400151,9.678298,18.429665,9,9
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,97.151936,2.005805,8,7
"chord_mrx_09_000018",85.038482,101.459592,82.890604,0.000000,3.908494,0.630793,3,6
"chord_mrx_09_000019",55.714319,145.075374,51.562226,0.000000,28.521021,14.838745,5,6
"chord_mrx_09_000020",60.613860,129.509298,56.689790,1.195530,9.070484,27.703643,6,7
"chord_mrx_09_000021",84.012382,200.943000,81.835645,0.000000,12.695142,0.000000,5,5
"chord_mrx_09_000022",84.074343,157.152653,80.584472,0.000000,14.973034,0.466963,4,4
"chord_mrx_09_000023",94.294241,110.184490,90.267345,0.000000,2.211698,2.643238,4,5
"chord_mrx_09_000024",80.786924,154.955465,77.565679,2.246049,8.472754,8.239602,8,10
"chord_mrx_09_000025",78.258424,183.133000,76.127186,0.000000,16.159294,5.201138,6,11
"chord_mrx_09_000026",88.837477,174.158367,87.423037,0.020592,10.235521,-0.000000,3,4
"chord_mrx_09_000027",85.405130,160.198986,84.315160,3.461396,6.089260,4.274030,5,9
"chord_mrx_09_000028",70.836537,347.205000,69.183047,5.016057,11.203468,9.499575,17,19
"chord_mrx_09_000029",74.380361,110.064000,72.170737,1.356484,9.624400,12.032999,8,10
"chord_mrx_09_000030",20.349987,121.376000,18.606644,0.000000,2.589474,1.223471,3,4
"chord_mrx_09_000031",21.509320,229.683084,20.610255,0.000000,71.323351,0.000000,3,3
