MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",7.195279,164.310204,7.106907,0.000000,70.430939,20.385091,5,2
"chord_mrx_09_000001",52.759570,200.129245,52.681304,0.000000,44.123252,0.000000,1,2
"chord_mrx_09_000002",1.576387,182.143129,1.483939,0.000000,66.615397,28.709145,5,2
"chord_mrx_09_000003",11.044484,153.469388,10.932808,0.000000,83.055223,0.000000,4,2
"chord_mrx_09_000004",9.607959,236.088889,9.529460,0.000000,71.812197,16.271073,13,2
"chord_mrx_09_000005",0.074933,194.841000,0.000000,0.000000,58.720187,32.270929,12,2
"chord_mrx_09_000006",19.019114,183.771429,18.938346,0.000000,78.085743,0.000000,4,2
"chord_mrx_09_000007",11.487391,112.875102,11.341121,0.000000,63.319890,20.252870,8,2
"chord_mrx_09_000008",14.138102,172.329805,14.033722,0.000000,66.378449,16.431711,10,2
"chord_mrx_09_000009",9.023314,164.022857,8.911832,0.000000,73.425121,17.006623,8,2
"chord_mrx_09_000010",0.651220,149.394286,0.528534,10.392921,50.206887,35.023514,8,2
"chord_mrx_09_000011",23.000611,211.487347,22.912971,0.000000,57.449006,16.567853,7,2
"chord_mrx_09_000012",6.820186,147.513469,6.712081,0.000000,89.834989,-0.000000,3,2
"chord_mrx_09_000013",11.122332,277.080816,11.064653,0.000000,84.629410,1.521008,8,2
"chord_mrx_09_000014",0.168635,263.332325,0.111231,0.000000,92.366890,2.213252,5,2
"chord_mrx_09_000015",4.418220,111.962523,4.257233,1.262347,79.902447,14.087414,10,2
"chord_mrx_09_000016",5.151430,180.192653,5.071153,2.497201,66.556843,23.156568,9,2
"chord_mrx_09_000017",17.153528,132.465487,17.017705,0.000000,75.969221,6.266638,8,2
"chord_mrx_09_000018",0.172080,101.459592,0.000000,0.000000,87.597804,0.000000,3,2
"chord_mrx_09_000019",0.101974,145.075374,0.000000,0.000000,68.888455,26.959451,5,2
"chord_mrx_09_000020",0.116436,129.509298,0.000000,19.166614,52.260649,23.608806,6,2
"chord_mrx_09_000021",1.015114,200.943000,0.926531,0.000000,95.667528,0.000000,5,2
"chord_mrx_09_000022",0.118135,157.152653,0.000000,0.000000,94.330756,2.179373,4,2
"chord_mrx_09_000023",5.847838,110.184490,5.694921,0.000000,69.673868,20.604316,4,2
"chord_mrx_09_000024",6.623289,154.955465,6.527699,0.000000,77.641372,12.609684,8,2
"chord_mrx_09_000025",1.204043,183.133000,1.116675,0.000000,96.370944,0.000000,6,2
"chord_mrx_09_000026",0.085191,174.158367,0.000000,0.000000,97.679149,-0.000000,3,2
"chord_mrx_09_000027",17.849418,160.198986,17.746345,0.000000,47.403349,32.990151,5,2
"chord_mrx_09_000028",1.386207,347.205000,1.343581,3.851759,67.529851,23.732809,17,2
"chord_mrx_09_000029",30.076955,110.064000,29.947031,0.000000,46.840111,19.090711,8,2
"chord_mrx_09_000030",0.600943,121.376000,0.459234,0.000000,22.386304,0.000000,3,2
"chord_mrx_09_000031",4.293316,229.683084,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000032",3.218246,20.206598,3.218246,3.588338,89.310303,2.272208,6,2
"chord_mrx_09_000033",7.650144,151.092245,7.542762,0.000000,32.121000,56.923315,12,2
"chord_mrx_09_000034",4.823258,158.066939,4.715114,0.000000,57.498888,33.792221,5,2
"chord_mrx_09_000035",2.620218,169.921000,2.527233,6.365370,31.801661,54.435238,12,2
"chord_mrx_09_000036",0.081394,217.887347,0.000000,5.831950,64.713356,28.353148,6,2
"chord_mrx_09_000037",0.153088,121.392510,0.000000,0.000000,47.438695,48.652304,5,2
"chord_mrx_09_000038",8.421959,195.343673,8.341755,9.516741,72.642477,8.348998,9,2
"chord_mrx_09_000039",0.635533,342.547000,0.592911,0.000000,57.315930,29.695195,9,2
"chord_mrx_09_000040",10.732918,228.600000,10.662052,1.720122,72.309952,13.449169,9,2
"chord_mrx_09_000041",13.925635,166.997912,13.828078,0.000000,74.482603,7.765573,7,2
"chord_mrx_09_000042",23.355524,127.686531,23.228235,0.000000,7.982568,65.287141,3,2
"chord_mrx_09_000043",4.231407,161.149388,4.136021,0.000000,86.319426,0.000000,5,2
"chord_mrx_09_000044",4.628290,152.581224,4.520004,0.000000,81.226490,11.641843,7,2
"chord_mrx_09_000045",0.655980,136.681362,0.547594,0.000000,46.449133,51.626977,7,2
"chord_mrx_09_000046",1.789771,175.827000,1.707303,3.383809,60.560722,33.016175,13,2
