MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",66.172612,164.310204,65.872789,31.922484,0.127663,1.777240,0.299823,68.149829,77.537846,63.923579,20.385091,65.872789,20.887374,7.002297,2.110891,65.872789,9.492164,7.219530,15.210791,5,12
"chord_mrx_09_000001",69.168413,200.129245,69.136506,27.668050,0.000000,3.163537,0.031907,71.418649,96.804556,-nan,0.000000,69.136506,21.793644,1.044223,0.000000,69.136506,18.571706,1.044223,8.052121,1,7
"chord_mrx_09_000002",49.608053,182.143129,49.541125,47.267356,0.000000,3.124591,0.066928,55.113031,68.099336,41.831677,28.709145,49.541125,33.468275,4.720321,2.695882,49.541125,7.310367,4.020252,35.936737,5,14
"chord_mrx_09_000003",58.984623,153.469388,58.698187,35.152640,0.137204,5.725533,0.286436,62.452832,93.988031,-nan,0.000000,58.698187,27.559658,5.193878,1.582083,58.698187,0.889049,6.587155,27.676435,4,11
"chord_mrx_09_000004",52.767427,236.088889,52.708415,44.884645,0.019671,2.328258,0.059012,55.221901,81.341657,47.876408,16.271073,52.708415,25.760231,11.006512,2.174707,52.708415,9.158845,11.416594,24.309207,13,25
"chord_mrx_09_000005",29.240814,194.841000,29.142295,61.848821,0.000000,8.910364,0.098520,31.934472,58.720187,32.197130,32.270929,29.142295,47.218753,3.906139,1.728388,29.142295,27.468896,4.454669,29.925256,12,27
"chord_mrx_09_000006",71.849030,183.771429,71.493147,25.401947,0.128995,2.620028,0.355883,73.685976,97.024089,-nan,0.000000,71.493147,3.369265,15.807473,6.225209,71.493147,0.277975,21.762999,3.360973,4,8
"chord_mrx_09_000007",60.608504,112.875102,59.943608,34.912599,0.057673,4.421223,0.664896,75.829423,74.661011,16.435176,20.252870,59.943608,12.745934,8.832583,3.254111,59.943608,7.545822,9.604048,17.762729,8,14
"chord_mrx_09_000008",43.906814,172.329805,43.074786,53.769096,0.000000,2.324089,0.832028,51.757983,80.412171,8.855247,16.431711,43.074786,30.638095,6.685835,1.254894,43.074786,11.971077,6.321739,35.476280,10,27
"chord_mrx_09_000009",59.489208,164.022857,59.406038,39.909225,0.028313,0.573255,0.083170,62.663862,82.336953,45.926363,17.006623,59.406038,28.402759,5.748381,0.916550,59.406038,12.365475,2.544121,24.999628,8,16
"chord_mrx_09_000010",63.258616,149.394286,63.227530,32.924326,0.000000,3.817058,0.031085,55.834050,50.735422,76.844187,45.416434,63.227530,15.643129,10.971100,4.693653,63.227530,11.066930,9.408749,12.448647,8,12
"chord_mrx_09_000011",46.635440,211.487347,46.393894,50.535936,0.000000,2.828624,0.241546,46.446025,80.361977,54.738233,16.567853,46.393894,39.491349,7.418052,1.233035,46.393894,8.835371,6.297622,35.402943,7,17
"chord_mrx_09_000012",74.218103,147.513469,73.494021,23.053049,0.000000,2.728849,0.724082,76.122477,96.547070,-nan,0.000000,73.494021,5.305181,9.677264,7.031704,73.494021,3.566901,12.915906,6.570242,3,13
"chord_mrx_09_000013",72.424858,277.080816,70.857496,26.124238,0.233336,1.217568,1.567361,73.780136,95.694063,16.718312,1.521008,70.857496,11.118968,8.564837,3.038068,70.857496,7.215361,8.464516,10.444361,8,24
"chord_mrx_09_000014",77.047414,263.332325,76.884286,17.807088,0.000000,5.145499,0.163128,82.020770,92.478121,46.674252,2.213252,76.884286,2.733499,5.765079,1.953507,76.884286,4.583880,6.908698,6.314510,5,17
