MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",54.534124,164.310204,52.470715,45.335812,0.116409,0.013654,2.063409,55.659423,77.537846,45.688281,20.385091,52.470715,13.758965,13.102486,18.474361,52.470715,0.000000,22.754105,22.581708,5,7
"chord_mrx_09_000001",97.309591,200.129245,95.282054,1.522502,0.000000,1.167908,2.027536,98.427242,96.804556,-nan,0.000000,95.282054,0.000000,1.522502,0.000000,95.282054,0.000000,1.522502,-0.000000,1,2
"chord_mrx_09_000002",80.365063,182.143129,78.105473,18.703009,0.000000,0.931929,2.259590,80.462876,68.099336,81.196386,28.709145,78.105473,7.229589,7.560058,3.913361,78.105473,0.000000,10.995342,7.707667,5,6
"chord_mrx_09_000003",50.635983,153.469388,44.624014,45.520660,3.843357,0.000000,6.011969,47.478401,93.988031,-nan,0.000000,44.624014,17.377272,16.807834,11.335554,44.624014,0.000000,25.639823,19.880838,4,8
"chord_mrx_09_000004",73.709932,236.088889,71.755423,20.868114,4.989193,0.432761,1.954509,71.318415,81.341657,84.467953,16.271073,71.755423,3.899259,8.356328,8.612527,71.755423,2.046241,11.767819,7.054055,12,15
"chord_mrx_09_000005",67.954157,194.841000,64.185105,26.806011,0.000000,5.239831,3.769053,74.060361,58.720187,64.134262,32.270929,64.185105,13.745618,12.227303,0.833090,64.185105,6.025169,10.868298,9.912544,12,17
"chord_mrx_09_000006",68.581859,183.771429,65.856010,29.340538,1.827541,0.250062,2.725849,67.875938,97.024089,-nan,0.000000,65.856010,3.693855,18.247573,7.399110,65.856010,0.000000,25.549960,3.790578,4,5
"chord_mrx_09_000007",80.227377,112.875102,75.248155,13.184119,6.481607,0.106897,4.979222,83.362708,74.661011,64.231462,20.252870,75.248155,3.275984,5.698441,4.209695,75.248155,0.000000,7.502347,5.681772,8,6
"chord_mrx_09_000008",76.016093,172.329805,72.919594,22.739415,1.184873,0.059619,3.096498,82.117921,80.412171,41.911589,16.431711,72.919594,11.433283,7.412128,3.894004,72.919594,0.060769,8.666314,14.012332,10,12
"chord_mrx_09_000009",76.678550,164.022857,76.029093,22.974713,0.339770,0.006968,0.649456,82.092561,82.336953,49.607616,17.006623,76.029093,10.344038,9.800419,2.830256,76.029093,10.262982,9.646857,3.064873,8,12
"chord_mrx_09_000010",45.084532,149.394286,41.315490,54.379714,0.456652,0.079101,3.769042,38.407822,50.735422,48.064362,45.416434,41.315490,17.705709,23.421128,13.252877,41.315490,16.598861,25.288397,12.492456,8,9
"chord_mrx_09_000011",72.309680,211.487347,69.295387,27.332979,0.301464,0.055877,3.014293,74.427558,80.361977,57.242963,16.567853,69.295387,5.432531,16.855749,5.044698,69.295387,0.000000,13.906964,13.426015,7,9
"chord_mrx_09_000012",70.734849,147.513469,67.789018,24.480781,4.277271,0.507099,2.945831,70.213439,96.547070,-nan,0.000000,67.789018,2.172276,12.730712,9.577793,67.789018,0.000000,21.112207,3.368574,3,6
"chord_mrx_09_000013",61.418759,277.080816,59.618051,32.501828,5.095192,0.984221,1.800708,62.300679,95.694063,0.000000,1.521008,59.618051,3.859082,19.351959,9.290787,59.618051,2.831207,24.993154,4.677466,8,13
"chord_mrx_09_000014",59.678691,263.332325,56.465637,21.806159,16.419577,2.095573,3.213054,61.058374,92.478121,0.000000,2.213252,56.465637,1.578372,12.737505,7.490282,56.465637,0.000000,18.326209,3.479951,5,9
"chord_mrx_09_000015",61.647279,111.962523,61.226270,37.796872,0.486299,0.069550,0.421009,67.536057,84.159681,28.587682,15.349760,61.226270,6.832994,14.974129,15.989748,61.226270,1.186126,22.108922,14.501823,10,12
"chord_mrx_09_000016",55.419861,180.192653,53.509487,43.772278,0.000000,0.807861,1.910374,46.657155,71.627996,78.311697,25.653769,53.509487,13.533043,20.142313,10.096922,53.509487,4.477301,20.489071,18.805906,9,10
"chord_mrx_09_000017",0.544069,132.465487,0.000000,98.306978,0.946586,0.202367,0.544069,0.000000,92.986926,0.000000,6.266638,0.000000,0.000000,9.561251,88.745727,0.000000,0.000000,89.050814,9.256163,8,10
"chord_mrx_09_000018",97.746482,101.459592,86.444221,1.070039,0.083545,1.099934,11.302261,98.683091,87.597804,-nan,0.000000,86.444221,0.000000,0.753108,0.316931,86.444221,0.000000,1.070039,-0.000000,3,3
"chord_mrx_09_000019",57.201114,145.075374,53.326187,39.188229,3.333491,0.277166,3.874927,56.785193,68.888455,52.700423,26.959451,53.326187,8.527418,26.753583,3.907228,53.326187,2.151963,22.635835,14.400430,5,6
"chord_mrx_09_000020",65.194006,129.509298,61.419932,32.504479,1.111658,1.189857,3.774073,70.327378,52.260649,57.664865,42.775420,61.419932,19.243092,9.523946,3.737441,61.419932,4.439738,6.707475,21.357266,6,8
"chord_mrx_09_000021",68.363168,200.943000,65.816625,19.415008,11.362426,0.859398,2.546543,68.137342,96.594059,-nan,0.000000,65.816625,0.000000,16.663133,2.751875,65.816625,0.000000,18.444335,0.970673,5,5
"chord_mrx_09_000022",74.919438,157.152653,71.709801,23.281815,1.518513,0.280234,3.209637,73.740508,94.330756,98.644065,2.179373,71.709801,0.000000,18.161652,5.120163,71.709801,0.000000,23.215296,0.066519,4,5
"chord_mrx_09_000023",76.186002,110.184490,72.535003,22.257940,1.180162,0.375896,3.650999,90.833870,75.368789,19.775543,20.604316,72.535003,9.378474,9.296865,3.582601,72.535003,2.107375,9.360437,10.790128,4,6
"chord_mrx_09_000024",81.149452,154.955465,78.146846,18.631909,0.000000,0.218639,3.002606,81.652815,84.169071,74.707895,12.609684,78.146846,4.745281,8.112202,5.774426,78.146846,3.781231,11.901165,2.949513,8,9
"chord_mrx_09_000025",72.616590,183.133000,70.526011,26.505108,0.456499,0.421803,2.090579,72.343557,97.487618,-nan,0.000000,70.526011,4.011620,15.735558,6.757930,70.526011,2.344362,21.965894,2.194853,6,9
"chord_mrx_09_000026",81.026774,174.158367,80.248478,17.430671,0.000000,1.542555,0.778296,82.155177,97.679149,-nan,0.000000,80.248478,2.819247,7.965909,6.645515,80.248478,0.000000,11.644213,5.786458,3,7
"chord_mrx_09_000027",63.928289,160.198986,63.013351,35.126494,0.000000,0.945216,0.914938,65.929189,65.149694,60.808106,32.990151,63.013351,5.240928,6.762059,23.123507,63.013351,2.067658,13.616930,19.441906,5,8
"chord_mrx_09_000028",70.276235,347.205000,68.754943,23.544045,4.159013,2.020708,1.521291,72.577489,68.873432,68.039259,27.584568,68.754943,6.467303,12.552267,4.524474,68.754943,2.903098,13.681283,6.959664,17,17
"chord_mrx_09_000029",72.919120,110.064000,70.963894,24.334206,0.579754,2.166921,1.955226,70.583447,76.787142,87.816962,19.090711,70.963894,4.995275,15.531418,3.807512,70.963894,0.774913,13.330426,10.228867,8,10
"chord_mrx_09_000030",41.881097,121.376000,2.428981,20.356248,0.060308,37.702346,39.452116,10.632190,22.845538,-nan,0.000000,2.428981,0.057013,14.320459,5.978777,2.428981,0.057013,19.464227,0.835009,3,4
"chord_mrx_09_000031",22.722260,229.683084,21.792196,69.530743,4.383746,3.363252,0.930064,22.769774,95.706684,-nan,0.000000,21.792196,0.000000,49.956038,19.574705,21.792196,0.000000,69.530743,0.000000,3,3
"chord_mrx_09_000032",40.544846,20.206598,40.544846,37.849296,19.994954,1.610905,0.000000,43.818741,92.528549,0.000000,5.860546,40.544846,9.078307,17.242912,11.528076,40.544846,0.000000,28.770989,9.078307,6,5
