MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",83.646071,164.310204,82.185055,15.610315,0.127567,0.616047,1.461016,83.233975,77.537846,86.569264,20.385091,82.185055,7.004852,6.407433,2.198030,82.185055,2.584929,6.224162,6.801225,5,7
"chord_mrx_09_000001",98.626553,200.129245,96.417164,0.387392,0.000000,0.986055,2.209389,99.599821,96.804556,-nan,0.000000,96.417164,0.387392,0.000000,0.000000,96.417164,0.387392,0.000000,0.000000,1,2
"chord_mrx_09_000002",92.238963,182.143129,90.119869,6.677848,0.010764,1.072425,2.119093,91.380789,68.099336,97.147299,28.709145,90.119869,1.404889,4.886692,0.386268,90.119869,0.000000,5.249456,1.428393,5,6
"chord_mrx_09_000003",85.612301,153.469388,83.612567,10.088496,0.286968,4.012235,1.999734,88.960867,93.988031,-nan,0.000000,83.612567,0.847074,7.003829,2.237593,83.612567,0.000000,9.241421,0.847074,4,5
"chord_mrx_09_000004",82.328154,236.088889,82.113689,15.499041,0.000000,2.172805,0.214465,83.464350,81.341657,87.409134,16.271073,82.113689,5.479804,7.777489,2.204924,82.113689,0.286817,8.176899,7.035325,13,15
"chord_mrx_09_000005",81.306296,194.841000,79.131702,11.840937,0.018477,6.834291,2.174594,84.381747,58.720187,91.669450,32.270929,79.131702,7.075513,2.859768,1.382153,79.131702,0.300758,2.594423,8.945756,12,17
"chord_mrx_09_000006",77.804428,183.771429,75.932008,21.064624,0.027456,1.103491,1.872419,78.260986,97.024089,-nan,0.000000,75.932008,0.000000,14.506023,6.558601,75.932008,0.000000,21.064624,-0.000000,4,4
"chord_mrx_09_000007",84.894853,112.875102,80.529602,14.244461,0.139818,0.720868,4.365251,87.568686,74.661011,74.803893,20.252870,80.529602,4.113036,8.042110,2.089315,80.529602,0.000000,9.012709,5.231753,8,9
"chord_mrx_09_000008",82.924534,172.329805,80.337854,16.455974,0.050054,0.569438,2.586680,85.415601,80.412171,70.919667,16.431711,80.337854,9.074268,5.482766,1.878077,80.337854,0.020863,6.370618,10.064493,10,15
"chord_mrx_09_000009",88.700108,164.022857,88.387434,10.956142,0.000000,0.343750,0.312674,87.892544,82.336953,94.195015,17.006623,88.387434,4.632658,5.503690,0.819794,88.387434,3.893256,3.815530,3.247356,8,10
"chord_mrx_09_000010",84.561424,149.394286,80.984121,15.167735,0.000000,0.270841,3.577303,75.136007,50.735422,94.378943,45.416434,80.984121,2.582882,8.670131,3.914722,80.984121,1.448333,6.439333,7.280070,8,8
"chord_mrx_09_000011",85.254179,211.487347,83.484106,13.415525,0.030199,1.300097,1.770073,90.499658,80.361977,64.925681,16.567853,83.484106,4.075357,6.030995,3.309173,83.484106,0.000000,6.857021,6.558504,7,7
"chord_mrx_09_000012",89.251852,147.513469,86.149364,10.372704,0.025002,0.350442,3.102488,89.230428,96.547070,-nan,0.000000,86.149364,0.681446,7.320108,2.371150,86.149364,0.681446,9.050791,0.640467,3,7
"chord_mrx_09_000013",85.048249,277.080816,83.378549,13.686963,0.149559,1.115230,1.669700,86.132114,95.694063,62.802387,1.521008,83.378549,4.100951,5.689003,3.897010,83.378549,3.677259,9.085090,0.924614,8,13
"chord_mrx_09_000014",86.424357,263.332325,82.065291,9.922527,2.703555,0.949561,4.359065,88.740224,92.478121,0.000000,2.213252,82.065291,4.860098,4.903934,0.158495,82.065291,2.646846,5.009264,2.266417,5,7
"chord_mrx_09_000015",84.974361,111.962523,84.553353,14.883856,0.072232,0.069550,0.421009,87.332886,84.159681,72.015944,15.349760,84.553353,5.401268,5.047173,4.205221,84.553353,0.684009,4.728430,9.471418,10,12
"chord_mrx_09_000016",81.073590,180.192653,78.763258,18.507627,0.010880,0.407903,2.310332,77.059261,71.627996,91.866631,25.653769,78.763258,14.488688,3.791255,0.227684,78.763258,0.106730,3.495780,14.905117,9,9
"chord_mrx_09_000017",0.381924,132.465487,0.000000,99.253564,0.000000,0.364512,0.381924,0.000000,92.986926,0.000000,6.266638,0.000000,0.169693,3.469963,95.613908,0.000000,0.000000,97.679011,1.574553,8,8
"chord_mrx_09_000018",87.898400,101.459592,86.262683,1.335122,0.000000,10.766478,1.635717,98.475850,87.597804,-nan,0.000000,86.262683,0.000000,1.059843,0.275279,86.262683,0.000000,1.335122,-0.000000,3,3
"chord_mrx_09_000019",79.370210,145.075374,77.041049,18.766947,0.039910,1.822932,2.329161,76.456678,68.888455,90.399556,26.959451,77.041049,1.974383,15.648725,1.143839,77.041049,0.000000,14.901268,3.865680,5,5
"chord_mrx_09_000020",70.459743,129.509298,66.842006,28.182875,0.011188,1.346194,3.617737,93.004902,52.260649,42.634392,42.775420,66.842006,20.753207,5.675528,1.754139,66.842006,2.824615,3.888373,21.469886,6,8
"chord_mrx_09_000021",89.066551,200.943000,88.232981,8.229199,0.131878,2.572371,0.833570,91.344108,96.594059,-nan,0.000000,88.232981,0.000000,7.934091,0.295109,88.232981,0.000000,8.229199,-0.000000,5,5
"chord_mrx_09_000022",82.676226,157.152653,80.211712,16.254125,0.044291,1.025358,2.464513,82.722054,94.330756,100.000000,2.179373,80.211712,0.000000,11.388879,4.865247,80.211712,0.000000,15.480955,0.773170,4,4
"chord_mrx_09_000023",94.966076,110.184490,91.527598,4.440224,0.005283,0.588418,3.438478,94.417353,75.368789,98.845224,20.604316,91.527598,1.439717,2.014546,0.985961,91.527598,0.000000,2.850552,1.589672,4,5
"chord_mrx_09_000024",91.042244,154.955465,88.148988,8.582744,0.047023,0.327989,2.893256,90.762098,84.169071,93.224964,12.609684,88.148988,0.482210,3.750440,4.350094,88.148988,0.000000,5.162991,3.419754,8,8
"chord_mrx_09_000025",82.768807,183.133000,80.610267,16.822746,0.054605,0.353841,2.158541,82.687697,97.487618,-nan,0.000000,80.610267,5.431026,9.008753,1.951587,80.610267,0.513288,8.118690,8.190768,6,13
"chord_mrx_09_000026",94.111362,174.158367,92.792158,4.846303,0.040688,1.001646,1.319204,94.996894,97.679149,-nan,0.000000,92.792158,0.643093,3.877354,0.325856,92.792158,0.643093,4.203210,-0.000000,3,4
"chord_mrx_09_000027",84.749955,160.198986,83.807423,14.184984,0.147439,0.917623,0.942532,83.368122,65.149694,89.400460,32.990151,83.807423,7.589716,5.402117,1.193150,83.807423,3.972219,3.325831,6.886934,5,8
"chord_mrx_09_000028",78.843911,347.205000,78.039775,18.417938,0.000288,2.737864,0.804136,80.283693,68.873432,82.457844,27.584568,78.039775,4.719978,8.135540,5.561268,78.039775,0.627295,8.957532,8.833110,17,21
"chord_mrx_09_000029",86.992114,110.064000,84.636212,10.599288,0.642354,1.766245,2.355902,86.545584,76.787142,95.231296,19.090711,84.636212,2.758395,3.498873,0.873128,84.636212,3.043684,3.539759,4.015845,8,12
"chord_mrx_09_000030",71.931848,121.376000,20.001483,2.628197,0.215858,25.224097,51.930365,87.550939,22.845538,-nan,0.000000,20.001483,0.000000,2.628197,0.000000,20.001483,0.000000,2.628197,0.000000,3,3
"chord_mrx_09_000031",24.340502,229.683084,23.408784,69.552325,2.745575,3.361597,0.931719,24.458881,95.706684,-nan,0.000000,23.408784,0.322183,49.103068,20.127074,23.408784,0.000000,69.230142,0.322183,3,4
"chord_mrx_09_000032",74.790220,20.206598,73.179315,24.742156,0.467624,0.000000,1.610905,72.906923,92.528549,97.594951,5.860546,73.179315,3.334381,20.012879,1.394896,73.179315,2.987732,18.266415,3.488009,6,7
"chord_mrx_09_000033",89.406043,151.092245,86.624799,9.962278,0.000000,0.631678,2.781245,95.276931,39.663762,85.789775,56.923315,86.624799,6.253783,2.137768,1.570727,86.624799,4.917526,2.275302,2.769451,12,13
"chord_mrx_09_000034",89.615729,158.066939,87.270558,8.735665,0.000000,1.648607,2.345170,89.180808,62.214002,94.067828,33.792221,87.270558,3.060470,4.885753,0.789441,87.270558,0.000000,4.928790,3.806875,5,5
"chord_mrx_09_000035",85.934052,169.921000,84.556941,10.572560,0.000000,3.493388,1.377111,93.163272,34.328894,86.471209,60.800607,84.556941,2.595912,3.197368,2.730092,84.556941,3.435714,2.986094,4.150752,12,14
